,Employee Role,Job Code,Google Workspace (MFA),Google Workspace - 4S: Executive (SSO),Google Workspace - 4S: Administration (SSO),Google Workspace - 4S: Clientele (SSO),Google Workspace - 4S: Developer (SSO),Quickbooks (SSO)
Executive,CEO,EX-001,Admin,Manager,Manager,Manager,Manager,Manager
,CPO,EX-002,NA,Manager,Manager,Manager,Manager,Manager
,COO,EX-003,NA,Manager,Manager,Manager,Manager,Manager
,CRO,EX-004,NA,Manager,Manager,Manager,Manager,Manager
,CTO,EX-005,Admin,Manager,Manager,Manager,Manager,Manager
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Fourth State,,,,,,,
,Role Based Access Control Matrix,,,,,,,
,Maintained by: Joshua Keyes,,,,,,,
,Date of Last Review: 2024-06-27,,,,,,,
,Audited By,,,,,,,
,Date of Last Audit:,,,,,,,
,Classification: Restricted Data,,,,,,,
